DATAFLOW,LAST UPDATE,freq,unit,airpol,src_nfr,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,AT,1990,74088,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,AT,1991,74872,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,AT,1992,72276,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,AT,1993,72231,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,AT,1994,71873,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,AT,1995,72102,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,AT,1996,71120,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,AT,1997,70974,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,AT,1998,71450,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,AT,1999,69695,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,AT,2000,68053,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,AT,2001,67750,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,AT,2002,66791,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,AT,2003,66612,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,AT,2004,65946,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,AT,2005,66013,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,AT,2006,66410,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,AT,2007,67859,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,AT,2008,67598,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,AT,2009,68908,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,AT,2010,68431,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,AT,2011,68141,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,AT,2012,68454,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,AT,2013,68308,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,AT,2014,69158,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,AT,2015,70119,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,AT,2016,71150,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,AT,2017,71698,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,AT,2018,70416,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,AT,2019,69133,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,AT,2020,68730,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,AT,2021,69145,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,AT,2022,67989,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BE,1990,124927,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BE,1991,122911,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BE,1992,123059,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BE,1993,125324,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BE,1994,125442,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BE,1995,128647,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BE,1996,130026,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BE,1997,129698,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BE,1998,130523,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BE,1999,131936,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BE,2000,95056,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BE,2001,93269,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BE,2002,90561,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BE,2003,86409,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BE,2004,80893,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BE,2005,78944,
