DATAFLOW,LAST UPDATE,freq,unit,airpol,src_nfr,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Austria,1990,464973,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Austria,1991,470133,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Austria,1992,409772,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Austria,1993,355593,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Austria,1994,311225,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Austria,1995,272137,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Austria,1996,227529,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Austria,1997,194499,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Austria,1998,184552,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Austria,1999,154912,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Austria,2000,137216,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Austria,2001,128747,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Austria,2002,131002,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Austria,2003,127391,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Austria,2004,117411,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Austria,2005,108624,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Austria,2006,90313,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Austria,2007,85078,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Austria,2008,76092,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Austria,2009,71299,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Austria,2010,66499,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Austria,2011,60642,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Austria,2012,56728,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Austria,2013,53169,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Austria,2014,50158,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Austria,2015,49250,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Austria,2016,47814,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Austria,2017,45721,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Austria,2018,44940,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Austria,2019,42310,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Austria,2020,32468,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Austria,2021,33393,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Austria,2022,33999,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Belgium,1990,678088,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Belgium,1991,677233,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Belgium,1992,684538,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Belgium,1993,631861,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Belgium,1994,568903,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Belgium,1995,527395,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Belgium,1996,498375,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Belgium,1997,410281,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Belgium,1998,375922,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Belgium,1999,323034,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Belgium,2000,272417,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Belgium,2001,244652,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Belgium,2002,209113,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Belgium,2003,190656,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Belgium,2004,161327,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Belgium,2005,128769,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Belgium,2006,106730,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Belgium,2007,91674,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Belgium,2008,77424,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Belgium,2009,67049,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Belgium,2010,57251,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Belgium,2011,47007,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Belgium,2012,42274,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Belgium,2013,38429,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Belgium,2014,35336,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Belgium,2015,35987,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Belgium,2016,33641,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Belgium,2017,29841,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Belgium,2018,28075,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Belgium,2019,27638,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Belgium,2020,20526,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Belgium,2021,24347,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Belgium,2022,24108,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Bulgaria,1990,449565,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Bulgaria,1991,211949,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Bulgaria,1992,251157,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Bulgaria,1993,285429,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Bulgaria,1994,264992,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Bulgaria,1995,288084,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Bulgaria,1996,237872,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Bulgaria,1997,151435,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Bulgaria,1998,183718,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,Road transport - passenger cars,Bulgaria,1999,171354,
